mc	mn	mc_onset	mn_onset	timesig	staff	voice	label      	alt_label	globalkey	localkey	pedal	chord  	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones 	added_tones	root	bass_note
64	64	3/4     	3/4     	4/4    	5    	1    	V7         	         	d        	i       	v    	V7     	V      	    	7      	       	            	       	         	Mm7       	1                 	1                	1, 5, 2, -1 	           	1   	1
66	66	0       	0       	4/4    	5    	1    	V          	         	d        	i       	v    	V      	V      	    	       	       	            	       	         	M         	1                 	1                	1, 5, 2     	           	1   	1
66	66	1/2     	1/2     	4/4    	5    	1    	i          	         	d        	i       	v    	i      	i      	    	       	       	            	       	         	m         	1                 	1                	0, -3, 1    	           	0   	0
66	66	3/4     	3/4     	4/4    	5    	1    	V7         	         	d        	i       	v    	V7     	V      	    	7      	       	            	       	         	Mm7       	1                 	1                	1, 5, 2, -1 	           	1   	1
67	67	0       	0       	4/4    	5    	1    	V(64)      	         	d        	i       	v    	V(64)  	V      	    	       	64     	            	       	         	M         	1                 	1                	1, 0, -3    	           	1   	1
68	68	0       	0       	4/4    	5    	1    	V          	         	d        	i       	v    	V      	V      	    	       	       	            	       	         	M         	1                 	1                	1, 5, 2     	           	1   	1
68	68	1/4     	1/4     	4/4    	5    	1    	V(4)       	         	d        	i       	v    	V(4)   	V      	    	       	4      	            	       	         	M         	1                 	1                	1, 0, 2     	           	1   	1
68	68	3/4     	3/4     	4/4    	5    	1    	V]         	         	d        	i       	v    	V      	V      	    	       	       	            	       	         	M         	1                 	1                	1, 5, 2     	           	1   	1
69	69	0       	0       	4/4    	5    	1    	i[i        	         	d        	i       	i    	i      	i      	    	       	       	            	       	         	m         	1                 	1                	0, -3, 1    	           	0   	0
69	69	1/4     	1/4     	4/4    	5    	1    	I          	         	d        	i       	i    	I      	I      	    	       	       	            	       	         	M         	1                 	1                	0, 4, 1     	           	0   	0
69	69	1/2     	1/2     	4/4    	5    	1    	IV         	         	d        	i       	i    	IV     	IV     	    	       	       	            	       	         	M         	1                 	1                	-1, 3, 0    	           	-1  	-1
69	69	3/4     	3/4     	4/4    	5    	1    	V7/iv      	         	d        	i       	i    	V7/iv  	V      	    	7      	       	iv          	       	         	Mm7       	1                 	1                	0, 4, 1, -2 	           	0   	0
70	70	0       	0       	4/4    	5    	1    	iv         	         	d        	i       	i    	iv     	iv     	    	       	       	            	       	         	m         	1                 	1                	-1, -4, 0   	           	-1  	-1
70	70	1/4     	1/4     	4/4    	5    	1    	I(6)]      	         	d        	i       	i    	I(6)   	I      	    	       	6      	            	       	         	M         	1                 	1                	0, 4, -4    	           	0   	0
70	70	3/4     	3/4     	4/4    	5    	1    	I6(+6)     	         	d        	i       	     	I6(+6) 	I      	    	6      	+6     	            	       	         	M         	1                 	1                	4, 1, 0     	-4         	0   	4
71	71	0       	0       	4/4    	5    	1    	iv[iv      	         	d        	i       	iv   	iv     	iv     	    	       	       	            	       	         	m         	1                 	1                	-1, -4, 0   	           	-1  	-1
72	72	1/2     	1/2     	4/4    	5    	1    	ii%65      	         	d        	i       	iv   	ii%65  	ii     	%   	65     	       	            	       	         	%7        	1                 	1                	-1, -4, 0, 2	           	2   	-1
73	73	0       	0       	4/4    	5    	1    	iv         	         	d        	i       	iv   	iv     	iv     	    	       	       	            	       	         	m         	1                 	1                	-1, -4, 0   	           	-1  	-1
73	73	1/4     	1/4     	4/4    	5    	1    	I          	         	d        	i       	iv   	I      	I      	    	       	       	            	       	         	M         	1                 	1                	0, 4, 1     	           	0   	0
73	73	1/2     	1/2     	4/4    	5    	1    	iio6]      	         	d        	i       	iv   	iio6   	ii     	o   	6      	       	            	       	         	o         	1                 	1                	-1, -4, 2   	           	2   	-1
74	74	0       	0       	4/4    	5    	1    	I\\        	         	d        	i       	     	I      	I      	    	       	       	            	       	\\       	M         	1                 	1                	0, 4, 1     	           	0   	0
